"comid","PET_mean","ET_mean","NPP_mean"
90060,655.310363769531,655.310363769531,0.508756022704275
664126,146.027142173366,41.4472190455386,0.303856650465413
664436,146.776628996197,44.4500850878264,0.362493387962642
664488,148.624467548571,48.297375929983,0.400039010926297
698676,162.173873098273,59.5964873464484,0.427042405856283
880648,133.845508776213,86.2132728978207,0.671594666807275
880824,455.190723619963,431.300384521484,1.97152384958769
1049671,170.253856458162,97.6766883448551,0.910844934614081
1239639,146.594735396536,41.1794580158434,0.542178379861932
1239663,145.389053344727,41.3228751734683,0.352379147943697
1306285,176.994000886616,44.5456934477154,0.3322544772374
1314635,138.356758519223,53.8027542515805,0.361372649669647
1332186,122.052911457263,53.3091902481882,0.291644187350022
1332190,125.698451393529,52.7920666744835,0.263784946579682
1332198,127.946180243241,52.85870240864,0.366715341806412
1332224,125.115104273746,50.5434277183131,0.331748170287986
1332234,133.647236071135,52.149919811048,0.42016623522106
1332754,122.544081838507,52.958369004099,0.317121808466158
1333022,131.538156609786,49.5160436128315,0.361510811667693
1333418,127.764177824322,51.0991128620348,0.396949990799553
1333490,139.894265425833,50.5848916706286,0.392000366198389
1439297,263.589501631887,191.857859561318,1.1552062724766
1566256,162.279210943925,83.1938866063168,0.730682144039556
1748723,107.244418094033,67.1018259148849,0.889635901702078
1814999,97.5640909295333,65.8491785149825,0.735184070311095
1889750,176.156137566817,51.9372353804739,0.64996138685628
2161766,171.298418546978,96.3541544864052,0.911587774753571
2161826,211.264333624589,147.220482274106,1.16766220017483
2232693,176.094043129369,101.847616095292,0.946072998799776
2252949,134.643495258532,45.7571720324065,0.353641414328625
2297254,187.921352185701,112.667227494089,0.879942401459343
2298964,187.672438772101,112.497004860326,0.878683865070343
2649684,110.988349914551,78.7708378842002,0.732517430656835
2663987,141.751774035002,78.435880962171,1.29613937202253
2665551,142.296067087274,84.5757462350946,1.36353686608766
2820034,193.909353958933,52.7235402558979,0.529038448082773
2821830,184.464851780942,61.1637669613487,0.622915964377554
2889384,146.336809660259,39.2867387470446,0.511930465698242
2889452,143.64336355109,40.6638173555073,0.521699096027173
2900705,143.738424200761,38.6733010944567,0.359290791185279
3232569,156.756475348222,44.0031778435958,0.382879926970131
3252173,149.794589394017,44.02532597592,0.3846161255711
3252637,138.944404200504,47.5534491288035,0.405361222593408
3252665,139.222160740903,47.5240255656995,0.404553058900331
3252693,146.506575734992,41.754050806949,0.379711083675686
3424530,175.016632883172,96.7592138993113,0.817863828257511
3473077,116.499435424805,77.451102005808,0.686669478290959
3649284,148.517119558234,54.188884935881,0.399811341574318
3730389,158.967121325041,45.9110745881733,0.353669296754034
3886082,165.592407226562,107.265066849558,0.797433790407683
3953581,175.511177464535,58.2516885054739,0.605101538331885
4366016,131.302090293483,68.4817014995374,0.489951271759836
4570659,94.7580462004009,59.0897254943848,0.808418176676098
4570675,95.0038853695518,58.6375104000694,0.823619779787566
4572307,106.313638787521,73.366410104852,0.824733341995038
4572347,95.40044563695,62.3065739681846,0.811050666005988
4572379,106.185782583136,71.892174570184,0.827065885066986
4577456,101.719716122276,62.6391121713739,0.877385302593833
4650944,121.320106907895,71.439547890111,0.784515776132282
4682628,120.700973510742,68.9955496537058,0.907660876449786
4711518,125.73897311562,71.7113755878649,0.892860669838755
4784831,201.02422292609,155.171452572471,1.16785890177677
5336835,125.884098253752,46.603069706967,0.39015383939994
5555562,200.849078529759,35.4091481660542,0.295411787535015
5771725,192.956196032072,31.0308864995053,0.359659800403996
5781917,206.677323993884,28.5765589663857,0.269319063738773
5781919,206.62113229852,28.4930438995361,0.26891197028913
5844986,136.366598028886,97.3139371370014,0.92776650504062
5848094,108.811572426244,66.5658721923828,0.748157432204799
5848106,115.571633188348,73.7587525217157,0.788743445747777
5860599,111.659537064402,71.6596772043329,0.986001651538046
5862611,318.529116981908,286.759150454872,1.69451057910919
6084503,100.394499929328,63.2141844096937,0.846011346892307
6109169,111.544906616211,66.9966792056435,1.00451460010127
6109235,112.202639128032,66.5478579872533,0.99533432408383
6109247,113.59232370477,70.3125867341694,0.91938210788526
6109457,113.87840552079,69.972576743678,0.959293569389142
6109643,127.012773212634,82.689228660182,0.965565813215155
6109717,154.250870554071,112.263060318796,1.08407463525471
6111419,125.279015792044,80.7563613088507,0.976128320944937
6177260,243.048963044819,207.352515772769,1.52487217752557
6186124,108.930074591386,67.4514276604903,0.899988974395551
6333706,655.299987792969,655.299987792969,3.27620005607605
6667827,130.84509518272,83.5236944901316,0.567505011433049
6667885,130.159035933645,82.8507192511308,0.564386380346198
6883680,321.138826069079,268.908794202303,1.65134660193795
6884184,142.822786030016,76.4962840833162,0.86547253006383
6908699,143.946192691201,76.1755234567743,0.95523359587318
7690025,109.504686857525,65.5329264590615,0.763909424606122
7700898,121.398262425473,83.0306251927426,0.881664498856193
7843181,160.923410516036,70.45184446636,0.647248898681841
7972667,174.235986809982,53.5164786890933,0.505029380321503
8272693,165.55641094007,62.9980757863898,0.960037648677826
8380297,134.601466128701,86.2698986655787,0.866415833172045
8444872,129.760632565147,66.5350498400236,0.703073661578329
8508050,146.402028937089,86.0029666298314,0.670066020990673
8611825,143.345605950607,74.6195538169459,0.582817385071202
8785913,306.013506437603,243.145993684467,1.47578617146141
8922013,323.025646008943,242.980907239412,1.45764154509494
8932036,271.525462903474,170.967584710372,1.03753678422225
9071892,165.253785785876,102.010800411827,0.957139165777909
9071958,158.89104180587,95.426493594521,0.91895015616166
9090922,162.929886667352,89.3523302580181,0.816084883714977
9175254,163.63839400442,94.3232698942486,0.83036449394728
9643259,154.537025853207,100.522676969829,0.828907919557471
9680956,365.321525172183,312.919446443257,1.82860813642803
9693728,158.153336374383,82.4313177811472,0.650729568381059
10247687,181.566859998201,86.0870799014443,0.778939275365127
10389524,279.012011076275,188.559023405376,1.04925456172542
10664258,185.807243748715,46.0219327023155,0.400604900560881
11323962,215.167425055253,46.6032004105417,0.228934765646332
11574664,153.912618536698,79.7589914422286,0.736431407301049
11689186,577.921110454359,568.50150339227,2.90768312153063
11722717,165.943291111996,30.8111710799368,0.278071457618161
12058092,138.915909616571,84.1708518580386,1.05833643988559
12890609,144.71768268786,34.0982146012156,0.240399497120004
13204443,122.634906969572,82.6489121286492,0.723633060329839
13294176,106.985263222142,61.2738502903988,0.615724594969498
13571661,122.778259678891,69.1118505377518,0.507737624017816
13633173,113.145648353978,67.963553177683,0.608814308517858
14347322,181.402552554482,105.85664608604,0.855429166241696
14353056,182.138543379934,107.048062776264,0.860093035196003
15096243,165.003493459601,87.8677625154194,0.685314260031048
15140491,161.504576833625,80.1717440956517,0.675562955831226
15612718,122.369292409796,67.9814372815584,0.59856188924689
15890430,258.818764937551,53.7480575159976,0.361803878294794
15903137,259.406136763723,55.6854900560881,0.373401949280187
17416738,135.797634727076,57.8582621122661,0.43592894077301
17461568,143.471845927991,35.6214802390651,0.27891733615022
17808622,182.78422787315,36.1072486074347,0.351977400089565
17819084,180.994834498355,34.2032310084293,0.343898373214822
17827558,181.993382504112,31.6550738686009,0.364055249251817
18208464,159.870534796464,93.0882327431127,0.524009848895826
18208882,155.428781609786,90.4530635632967,0.633970351595628
18211220,175.443316811009,105.308058889289,0.763770718323557
18548456,169.451629638672,96.7368224294562,0.657585194236354
18566327,242.610312210886,177.162336650648,1.19877847872282
18841314,149.659516987048,65.3137391742907,0.349307388067245
18841358,149.968356483861,66.2673436215049,0.342676997184753
19088319,147.075198524877,65.0638144643683,0.526451371218029
19710385,146.378059788754,77.4895031577662,0.909204617926949
20440650,227.546695910002,23.4830128519159,0.309240400791168
20815146,188.774589940121,31.3793120133249,0.420746643292276
22048111,188.558652375874,38.8291081880268,0.472147765912508
22050323,178.771899574681,40.793631302683,0.56101867086009
22125024,145.962368613795,75.8414575677169,0.901623644326862
22125640,221.591297350432,161.543453818873,1.22641245314949
22144520,151.897172626696,71.0948691117136,0.758220631825296
22160728,158.621290508069,84.8123052496659,0.974945335011733
22290155,106.44646092465,65.6487205906918,0.938275798370964
22290173,119.257115414268,79.3023079320004,0.955087724484895
22337975,356.567161158511,321.246376439145,1.83590299832193
22339187,153.68515898052,98.4116295262387,0.881564475988087
22559686,225.394111231754,29.4190908733167,0.254913714371229
22563070,475.56743099815,409.520761590255,2.16811005692733
22848175,178.727449919048,50.3265302557694,0.38210695825125
23027050,106.512806139494,54.6356169048109,0.459219080837149
23099678,131.083927355315,55.8702117518375,0.527756477657117
23099694,130.645635504472,58.4469811288934,0.555901204284869
23099844,129.666222823294,59.1762629057232,0.56484686073504
23099862,124.344722145482,55.0615716231497,0.554548018857052
23099884,133.656988043534,59.0433429918791,0.576359670413168
23100020,118.242130078767,38.2404204920718,0.451768101830232
23100162,113.30672454834,41.8019788641679,0.548985208335676
23100180,111.843813042892,43.6994498403449,0.585839422125565
23100200,110.785829242907,40.3884209080746,0.580573762718
23100242,123.583941409462,32.425101230019,0.332587083703593
23100328,120.670562744141,34.6853485107422,0.377269591155805
23100338,119.052089088841,36.0915585568077,0.407653389792693
23100398,118.565134951943,37.7227233083625,0.461434681164591
23100404,117.312328539397,39.2322612561678,0.492168233582848
23100408,119.320043865003,34.7770879645097,0.399540995296679
23100428,116.188071401496,42.3735853496351,0.543983459472656
23100434,115.653093438399,46.3653462058619,0.57469977516877
23100608,119.766004461991,36.5021330180921,0.490750728469146
23103496,115.798542223479,37.3247550161261,0.50557846144626
23105314,117.88846829063,37.4044466520611,0.481622059094278
23302298,152.419278596577,37.7413783826326,0.307890468522122
23382303,135.736565840872,46.95645563226,0.428343018418864
23398865,139.274025364926,44.1996287295693,0.37581130391673
23459937,149.874489232113,78.170858684339,0.565288261363381
23459939,149.824916638826,77.587038542095,0.563685313651436
23700305,139.861963372481,64.8925299393503,0.572224776995809
23700413,140.026000976562,55.9706145838687,0.662081000052
23700493,158.802036486174,90.3606025294254,0.858908791291086
23700569,121.939934981497,47.1677483006528,0.709247410297394
23700583,128.167128713507,55.6474607367265,0.677797552786375
23700639,118.973742033306,48.7845430876079,0.711322909907291
23706200,131.84490404631,44.2156751532304,0.602809727191925
23713956,135.179272300319,31.6353564011423,0.267348900437355
23718705,134.429957339638,40.662851835552,0.413322749890779
23719673,137.748301455849,42.4567937349018,0.424600204354838
23732545,129.682699103104,30.6938642200671,0.304531348379035
23737123,302.17185572574,265.821032072368,1.61229419708252
23751778,124.761240507427,66.504075702868,0.819700423039888
23759228,117.091492502313,65.9418134187397,0.89345404662584
23762877,126.642632333856,72.6161077399003,0.8607343780367
23762881,110.958578410902,66.5854178980777,0.964242398738861
23763009,128.639207538805,73.7983832108347,0.857988257157175
23763337,127.085918627287,70.9598268207751,0.838575868230117
23772789,127.428443908691,67.7993991249486,0.765591969615535
23772801,127.57860083329,67.8593822278474,0.764648817087475
23772889,116.013067948191,45.1908966867547,0.615408818972738
23772909,130.103619224147,71.0466810527601,0.773712917378074
23773405,116.081221731086,59.5998637550756,0.746351944772821
23773411,115.060761301141,57.8587078295256,0.747668714899766
23773423,114.149138199656,56.6067012987639,0.739262373823869
23773429,113.212404753032,60.27667115864,0.738926187941903
23773463,117.522254140753,43.1518129047595,0.534957612815656
23773469,112.556819313451,44.1483535766602,0.641089684084842
23773487,109.402210034822,60.6167417827405,0.871701124467348
23774155,110.892967224121,48.6191609031276,0.783368336526971
23774225,115.371592069927,47.0068094353927,0.682314380219108
23774923,117.021964223761,44.7206912793611,0.612444130997909
23815040,127.385516919588,75.5726406699733,0.855482628470973
23871899,97.610157213713,60.8601433603387,0.958222188447651
23955772,111.378903840718,73.2699705425062,0.726880315103029
24125037,125.525330794485,53.6413501940275,0.516192349948381
24125115,119.521493610583,51.7646305686549,0.527830798374979
24125193,117.652994657818,55.020311255204,0.571890598849246
24125421,113.152126914576,57.7200194910953,0.61436665999262
24125567,110.86618483694,65.4362833123458,0.652252372942473
24125633,105.976615504215,46.7542210629112,0.541690318207992
24125699,98.4605279219778,45.5971268101742,0.513441082678343
24125729,96.1454945614463,47.2542009855571,0.562974258473045
24125789,112.633037767912,73.3776245117188,0.688125528787312
24125811,107.745229620683,68.827910573859,0.604712837620785
24125859,91.0464923256322,51.7192093698602,0.497316528307764
24125873,91.2348054584704,50.547993509393,0.476099467591236
24125883,92.5013122558594,49.0979923449065,0.457871780583733
24125945,89.9432168257864,52.0411752399645,0.476109542344746
24125999,91.4602026688425,56.3478409616571,0.531798425473665
24126011,92.1117722360711,57.4698829650879,0.521905759447499
24126041,87.811383699116,51.1881731936806,0.574337532645778
24126059,114.582815069901,76.9537120618318,0.744800043733496
24126061,115.04333054392,77.7970781828228,0.745327162115197
24126203,95.3285795512952,54.2474471644351,0.682950493536497
24126251,110.004054420873,46.2214881495426,0.635906203796989
24126315,115.605192485609,40.3595749704461,0.566264569759369
24126327,115.189986379523,39.8258620814273,0.565407646329779
24126399,126.526535837274,28.0331156881232,0.252972085224955
24126427,125.394033733167,28.8832413522821,0.284787267446518
24126443,123.113016228927,29.8449198070325,0.353660607024243
24126487,119.136882581209,32.7384826258609,0.422059747733568
24126509,116.075666728773,34.6052278217516,0.490787203374662
24126823,92.4425715396279,52.4720053421824,0.630138576030731
24131037,114.047352841026,40.9117383454975,0.54755627481561
24131135,118.910701550935,36.6741013777883,0.446039446090397
24415028,122.947573611611,62.313753027665,0.548649417726617
24422669,113.01053860313,49.8480407313297,0.607454315612191
24422713,108.145279733758,46.5991190860146,0.596545818604921
24422823,102.951601128829,49.9380250228079,0.682838411707627
24422831,101.581645764803,51.6778486151444,0.723211065719002
24422871,103.930099085758,50.6651000976562,0.654847838376698
24422873,104.231002807617,49.9784395318282,0.625458707934932
24422913,104.038707532381,47.577357643529,0.577021238050963
24422975,110.946356923957,54.1161551224558,0.654756781302
24422999,112.626410233347,56.6477482444362,0.661727503726357
24423139,107.480657075581,40.7812779075221,0.388726598338077
24423157,108.378203542609,40.7499879535876,0.461905433943397
24423233,115.210867229261,49.1246428238718,0.607692762425071
24423245,115.112308702971,51.3809858623304,0.631681652445542
24423325,107.28148932206,45.5342132166812,0.642735656939055
24423347,107.450615732293,45.8074935109992,0.633183833799864
24423357,107.92465611508,43.2317958631014,0.529162548090282
24423359,107.912668730083,43.074265931782,0.524257129744479
24423421,108.136024073551,43.7052391453793,0.581101433226937
24423479,127.280818738435,47.8373615867213,0.479039146711952
24423517,117.273981997841,36.9186696504292,0.442859815923791
24423623,108.533155340897,44.371801275956,0.664474970416019
24423655,113.821441248844,39.3842309650622,0.526552648920762
24423673,110.538005628084,42.1926691155685,0.594561865455226
24423679,109.943826374255,43.2172132793226,0.602529475563451
24423897,105.382772746839,48.4291913885819,0.721880846901944
24424703,111.754810935573,41.1457678142347,0.582838309438605
24424705,115.453526547081,36.9959748920641,0.488338040678125
24424753,110.963274102462,43.0772757279245,0.633584226432599
24424869,107.600316900956,42.300694315057,0.611365352806292
24425579,111.858014558491,48.634242409154,0.60260620242671
24505800,103.048227410567,57.6929769014057,0.729070189752077
24526798,120.537614521227,60.1542328282406,0.809530832265553
24526862,110.425159253572,62.1157539769223,0.916446328163147
904020533,195.246289704975,171.012785259046,1.18643197887822
933160077,165.105137072111,90.3763319316663,0.600654573817002
947020557,122.820444207442,62.2944572850278,0.54894777348167
947020558,122.77285846911,62.3231847662675,0.549344216522418
947030105,132.779072811729,56.4828372754549,0.5262547856883
947030106,132.49562474301,56.3438540006939,0.526316799615559
947030170,103.665413304379,46.5324468110737,0.558136133771194
947030171,103.799901861894,46.3236975418894,0.559828651578803
