"comid","site","NPP_kgCm2","ET_kgm2year"
90060,"S19S_0042",58510.2575963688,915759.271855839
664126,"S19S_0098",788828.001498653,875006.145086436
664488,"S19S_0097",20157490.3278704,21193621.925861
698676,"S19S_0024",5779056.35474559,7092996.62222743
1049671,"S19S_0011",21238768.7024366,29704682.8022171
1239639,"S19S_0027",132820.280350413,103920.31345494
1306285,"S19S_0025",771452.193219704,1058474.44007124
1314635,"MP-3317",1543271.36237931,2331788.88328573
1332186,"EAS-RUS",144906.722801097,249505.331315914
1332190,"EAS-BRA",42264.9601671649,81849.5739002212
1332198,"EAS-ROC",63635.2414558083,77272.543439686
1332754,"EAS-PUM",947765.689513431,1458459.69929935
1332754,"S19S_0100",947765.689513431,1458459.69929935
1333022,"TAY-TAY",3885293.91371513,5119163.27737212
1333418,"EAS-ALM",10324788.5830291,12156987.2736657
1333490,"TAY-RES",8394008.33516646,10364244.0622203
1566256,"MP-2179",4786016.00020946,6518454.8815081
1748723,"S19S_0052",2794333.74383604,2095569.05854596
2649684,"SP-6",473439435.262523,502662250.152057
2663987,"S19S_0069",217452.55504355,143001.292761683
2665551,"S19S_0070",189932.609421766,124366.399542898
2889384,"S19S_0071",106930.003080339,78192.6000464279
2889452,"S19S_0026",252028.36465711,198510.280507153
2900705,"S19S_0077",37473435.2343259,34506460.1678423
3232569,"GUN-GRJ",274365982.348308,269602183.956073
3252173,"GUN-TUN",136231243.225753,135759401.301568
3252637,"S19S_0062",36387914.8170733,38711854.3615645
3252665,"GUN-GUN",36719997.0992862,39020058.1529527
3252693,"GUN-R32",72001951.5109336,69885396.0180802
3424530,"S19S_0015",261118125.538049,444726730.231661
3473077,"S19S_0067",2176881.65512802,2623325.55906742
3649284,"S19S_0017",320130.846683677,440974.892901783
3886082,"S19S_0099",246137660.705825,341251846.045254
4366016,"MP-1796",160871393.578442,209429070.885964
4570659,"CT-EBRA",4175733.81017025,2938397.25931152
4570675,"CT-MOOS",6441350.26798724,4289599.47374317
4572307,"CT-SLPR",3686540.61772215,3193747.61814687
4572347,"CT-POPE",346265.002585457,245954.45652028
4572379,"CT-PASS",34469797.0756266,28547113.1357127
4650944,"S19S_0037",0,212978.833929727
4650944,"S19S_0038",0,212978.833929727
4682628,"S19S_0064",3188258.57064677,2828019.89973642
4711518,"MP-3508",2255446.29108238,2791421.71492854
5781917,"MP-2194",975890170.764238,1098603762.15226
5781919,"S19S_0063",974683217.990022,1096270003.27623
5848094,"MP-18",2022077.35716914,1820080.84771931
5848106,"MP-19",3460051.77454141,3388106.4118835
5860599,"S19S_0073",139784.75983957,111725.240121199
5862611,"S19S_0072",314617.802384728,694516.130783703
6109169,"S19S_0053",130351.79874423,94980.6293052307
6109235,"CT-PHEL",236538.444520516,178242.506458418
6109247,"CT-BUNN",295463.171374591,254042.546564161
6109457,"CT-NEPA",1793333.62841976,1472781.1992556
6109643,"CT-UNIO",29916111.4951736,27996994.2416818
6109717,"CT-FARM",51246048.2344791,57001114.7605681
6111419,"CT-STIL",6941531.40959236,6187881.24566987
6177260,"MP-2865",3465333.4424837,5291074.39923924
6186124,"MP-195",8786411.85977443,6803574.43161018
6333706,"SP-5",908602.489159751,1829880.53100645
6667885,"MP-1481",304433643.621411,502095006.863749
6883680,"S19S_0089",761237.0633626,1307195.26970882
6884184,"MP-11342",17729294.3015119,20019970.4495861
6908699,"MP-1110",245513462.270175,235916969.237149
7690025,"S19S_0012",354848.255199114,325136.664537834
7700898,"CT-THOM",780639391.910692,706115899.625026
7843181,"MP-2197",105791332.737937,148613486.48989
7972667,"MP-2376",253488283.872756,211640969.799671
8272693,"S19S_0065",88433926.9550154,50823356.6055434
8380297,"S19S_0082",0,666426.044801211
8444872,"S19S_0014",262173.53019916,280975.045882293
8508050,"S19S_0054",57336364.6654427,102333203.786909
8922013,"MP-3254",1892379.06409778,3128303.39750657
9071958,"SP-4",74024182.6418471,109922837.740795
9090922,"MP-1285",46126023.0345119,81883365.1240049
9643259,"S19S_0044",3070718.24723235,5595740.63521805
11323962,"S19S_0032",53241.5309378437,86139.0544266663
11574664,"MP-645",44238828.3341953,67132314.0550599
11689186,"S19S_0006",0,3695187.15294832
11689186,"S19S_0006_D",0,3695187.15294832
11689186,"S19S_0006_M",0,3695187.15294832
11689186,"S19S_0006_U",0,3695187.15294832
11722717,"S19S_0023",29800776.0795352,28876684.765957
12058092,"S19S_0090",150561.473666085,143689.735386574
12890609,"S19S_0009",42516170.9253446,53182361.825102
12890609,"S19S_0009_D",42516170.9253446,53182361.825102
12890609,"S19S_0009_M",42516170.9253446,53182361.825102
12890609,"S19S_0009_U",42516170.9253446,53182361.825102
13204443,"MP-1425",377021826.41791,449128157.037771
13294176,"S19S_0043",728887.728370094,672985.201982038
13571661,"S19S_0083",9990209.8921845,13765462.7473866
13633173,"S19S_0061",27180.3118949635,24614.5106590101
14347322,"S19S_0010",629900908.352288,1137534461.51539
14347322,"S19S_0010_D",629900908.352288,1137534461.51539
14347322,"S19S_0010_M",629900908.352288,1137534461.51539
14347322,"S19S_0010_U",629900908.352288,1137534461.51539
15612718,"SP-1",61431385.3325659,71651515.8597146
15890430,"SP-13",110273315.947317,149547115.045354
15903137,"SP-10",108457342.455482,147561680.667402
17461568,"SP-2",740731510.281999,827320202.228813
17808622,"S19S_0080",441862191.506773,415815901.862041
17819084,"S19S_0066",428244669.216953,391068112.990753
17827558,"S19S_0034",69535.3523733819,48927.9290966955
18208464,"S19S_0022",153638.236623088,401666.662877955
18211220,"S19S_0021",328485986.139187,530871380.48599
18548456,"S19S_0020",778910951.928043,1432485741.93858
18841314,"S19S_0016",159522.920770596,286436.587510602
18841358,"S19S_0040",20005.7848508758,33945.4018502422
19088319,"SP-15",51374425166.6708,62475984766.4599
20440650,"S19S_0028",2412215.1125958,1820877.56509292
22048111,"S19S_0033",433935.458890521,280616.083794395
22050323,"S19S_0008",85820.9329015748,41664.7358756531
22050323,"S19S_0008_D",85820.9329015748,41664.7358756531
22050323,"S19S_0008_M",85820.9329015748,41664.7358756531
22050323,"S19S_0008_U",85820.9329015748,41664.7358756531
22125024,"S19S_0019",57138.5254145861,61978.921716722
22125640,"S19S_0039",1751687.62202054,2293524.5402795
22144520,"S19S_0018",183876.924107195,212517.403000264
22290155,"MP-162",4832842.77337178,3333042.28511911
22290173,"MP-161",15162106.5903786,12208563.0974726
22337975,"S19S_0081",0,19988023.0219766
22339187,"MP-587",1117383.03431639,1516160.79911617
22563070,"MP-3102",13083938.2234135,24965877.2056485
23027050,"S19S_0059",122182.944893207,139023.033206702
23099678,"T02",277122407.75983,265622598.541361
23099694,"S33",248077391.45785,236344559.436724
23099844,"T03",197855879.056115,187365243.707512
23099862,"S57",182485809.064218,162448095.67388
23099884,"S82",9390039.35578931,8912210.09259833
23100020,"S36",20882863.8933352,15419776.7439327
23100162,"S43",7501711.62005937,5029021.86928982
23100180,"S41R",6890437.48961172,4553652.78292162
23100200,"S64",1473718.79690991,898422.849625192
23100242,"S34",17487300.6778037,14502022.3170994
23100242,"S34R",17487300.6778037,14502022.3170994
23100328,"S32",9697850.31299806,7572480.081755
23100338,"S31",4062763.17383006,2995062.78005512
23100398,"S30R",4243469.56143717,2982654.57329313
23100404,"S63",3234873.12386573,2230416.01911745
23100408,"S40",948230.944852409,675129.848567099
23100428,"S37",1883456.83079551,1296251.34849965
23100434,"S39",1045433.14629403,727142.992206324
23100608,"S63P",573041.332825522,359625.637318319
23103496,"S42",630545.597948865,421161.215737814
23105314,"S38",326693.16911429,228263.517880388
23302298,"S19S_0087",160871.876127713,160579.054337925
23382303,"S19S_0085",16806238.250105,15002556.5247013
23459937,"S19S_0055",7851850.12576405,10030857.4981409
23459939,"MP-2699",6419501.08536992,8182106.90779268
23700305,"WHY-SIS",3344375.36580864,3468963.44975959
23700413,"DES-BFA",93405592.7784977,66539327.8707151
23700493,"DES-WIC",21863420.4198099,20551087.283602
23700569,"BRO-LAP",1426465.29578196,804573.15693745
23700583,"DES-LAP",2881563.84746046,1927011.56960492
23700639,"CUL-LAP",1482603.8444597,847326.073493544
23706200,"LDS-LAP",43749126.1145676,26385299.8536124
23713956,"S19S_0041",67024240.0067652,67020128.9448475
23718705,"DES-MOO",397920477.747602,333472928.710471
23719673,"DES-MAD",300857797.253795,255243475.021111
23732545,"TRO-GAT",18146649.7768016,16014517.2559678
23751778,"WIL-JAS",108112777.377628,81449292.1490745
23759228,"WIL-GOS",52026325.2529996,37757332.4782753
23762877,"WIL-COR",363896586.223765,286408661.595914
23762881,"SP-9",27581101.7624034,18393990.1536291
23763009,"SP-8",326347160.51183,260845503.63691
23763337,"WIL-HAR",278590093.706203,217382764.754929
23772789,"E020",84963653.6655061,64628902.0384399
23772801,"E030",84232511.4870526,64102409.6310931
23772801,"MCK-WAL",84232511.4870526,64102409.6310931
23772889,"E440",1180066.34920185,565165.710895621
23772909,"E040",72792083.696615,58005747.2348967
23773405,"BLU-BLU",6474861.31436665,4905961.07674938
23773411,"E543",1843458.27748866,1367240.61552415
23773411,"LOO-BLU",1843458.27748866,1367240.61552415
23773423,"S19S_0031",240450.159358989,183111.970711587
23773429,"BLU-TID",3310458.76048247,2550298.50146153
23773463,"E547",267305.647360489,137147.625573309
23773469,"E390",3595352.29089201,1768567.94722354
23773487,"E310",2151785.0374504,1479994.14835177
23774155,"E360",164322.465984557,84553.8186932507
23774225,"E410",328244.246051428,161909.878353461
23774923,"E430",402040.858665276,190723.140257145
23815040,"WIL-POR",924287588.717708,764851182.727263
23955772,"MP-2529",63481864.7902533,50896402.4402723
24125037,"S50",110097789.97124,104204745.0584
24125115,"S79",95974320.8858107,84859152.0445366
24125193,"S67",92309282.2549838,80205130.9036109
24125421,"S73",74686443.6142555,62561975.4637275
24125567,"S28RE",53201251.6860032,46350646.3657281
24125633,"S19E",5537984.84240004,3992720.43369711
24125699,"S25",1776128.35101642,1243861.37998443
24125729,"S19",2386504.60541265,1556597.22466353
24125789,"S23",38340265.69078,35691729.7577445
24125811,"S20R",14753347.8830299,14318847.0001112
24125859,"S24",9458372.68280833,8170157.62750227
24125859,"S24R",9458372.68280833,8170157.62750227
24125873,"S18",6158250.78016656,5424989.37538492
24125873,"S18R",6158250.78016656,5424989.37538492
24125883,"S13R",2762287.30809414,2437748.21865089
24125945,"S14",2839957.46363268,2589690.16516049
24125999,"S17",2277233.89808254,2029854.8053593
24125999,"S17R",2277233.89808254,2029854.8053593
24126011,"S16",1887323.82099489,1750940.56058925
24126041,"S15",410286.761441704,308582.655818871
24126059,"S21",20631194.1360337,18582246.6469473
24126061,"S21R",20047881.3765584,18200935.4755761
24126203,"S83",2205577.61143413,1470544.58089848
24126251,"S29",5345075.89940717,3701082.06790263
24126251,"S29R",5345075.89940717,3701082.06790263
24126315,"S72",4358139.5392238,2861126.14488392
24126327,"S71",4248629.40605397,2731918.83397853
24126399,"S68",1216596.91863597,1196024.62094987
24126427,"U20",716874.609586082,620558.584446501
24126443,"U22",313061.393919319,228457.425816983
24126487,"W20",4178489.24042525,2702695.09518747
24126509,"W10",3041601.2903836,1862324.11192171
24126823,"S27R",449080.792718407,313401.252901285
24131037,"S28R",5333137.59110563,3672347.79722557
24131135,"S75",3484960.56699896,2725543.95972413
24415028,"S19S_0036",4097468441.84176,2971744279.35923
24415028,"S19S_0074",4097468441.84176,2971744279.35923
24422669,"S58",61400368.9610497,43366018.3006034
24422713,"S50P",41558961.7549411,27869209.9532966
24422823,"T05P",10543016.054016,7030993.17117816
24422831,"S08",6219786.54584639,4208758.67626345
24422871,"S12",838090.252513897,556705.650409903
24422873,"S61",662354.061879073,435180.29344187
24422913,"S01",5117873.90314853,3429841.90714337
24422913,"T06",5117873.90314853,3429841.90714337
24422975,"S02",7532918.03498545,5738912.71801475
24422999,"S11",5991616.19408349,4764090.1304536
24423139,"S04",1343016.57326635,883512.471390551
24423157,"S10",3958691.95996971,2575182.37251919
24423233,"S49R",17902458.2985273,12541634.9270697
24423233,"S51",17902458.2985273,12541634.9270697
24423245,"S54",15545480.031247,10941083.9409705
24423325,"S48",1081612.47508531,680624.685573993
24423325,"S48R",1081612.47508531,680624.685573993
24423347,"C10",1325776.53533727,845798.101255015
24423347,"C11",1325776.53533727,845798.101255015
24423347,"C20",1325776.53533727,845798.101255015
24423347,"C21",1325776.53533727,845798.101255015
24423357,"S47R",2277094.24295601,1539453.60952511
24423359,"S47",2187195.90812347,1479550.97752241
24423421,"S45",3536234.66291231,2360272.05077602
24423479,"S56",5374899.124542,4917845.85126194
24423479,"S56N",5374899.124542,4917845.85126194
24423479,"S77",5374899.124542,4917845.85126194
24423517,"S55",2481545.50515,1788617.96163379
24423517,"S55N",2481545.50515,1788617.96163379
24423623,"S52",457034.655559224,282366.888262829
24423897,"S03",1146807.66782596,765117.775992563
24424705,"S65",126222.077017298,78781.7057154935
24424869,"S53",1022653.807944,619192.736103147
24425579,"T05",60524187.8007932,41938128.9444855
24425579,"T41",60524187.8007932,41938128.9444855
24425579,"T42",60524187.8007932,41938128.9444855
24505800,"S19S_0030",236769.19560583,168777.292850272
24526798,"S19S_0079",291782045.899665,205496064.339691
24526862,"S19S_0078",742259.650570659,525520.058613185
904020533,"SP-14",26435553.513306,14080133.2324239
947020557,"S19S_0076",4080314522.72043,2948424197.51345
947020558,"S19S_0075",4074913546.94709,2940998988.69005
947030105,"T07",288563226.705775,281715225.932997
947030106,"S19S_0060",287175491.346751,279431658.508495
947030170,"S26R",12471183.0564737,8683247.94152241
947030171,"S22RR",12963307.715124,8993714.45695867
